Faixa Etária,Faixa Hora Contrat,Faixa Tempo Emprego,Escolaridade após 2005,Ind Portador Defic,Raça Cor,Vl Remun Dezembro Nom,Sexo Trabalhador,Tamanho Estabelecimento,Diretor TI,Gerente Infraestrutura TI,Gerente Desenvolvimento Sistemas,Gerente Operação TI,Gerente Projetos TI,Gerente Segurança Informação,Gerente Suporte Técnico TI,Tecnólogo Gestão TI,Engenheiro Aplicativos Computação,Engenheiro Equip Computação,Engenheiro Sist Oper Computação,Administrador Banco Dados,Administrador Redes,Administrador Sist Operacionais,Administrador Segur Informação,Analista Desenvolv Sistemas,Analista Redes Comunic Dados,Analista Sistemas Automação,Analista Suporte Computacional
2,5,2,6,0,1,1268.65,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,1,6,0,1,3003.01,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,6,0,1,3138.52,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,0,6,0,1,1327.22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,7,6,0,1,2951.67,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,0,6,0,1,1294.34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,2,6,0,1,1610.28,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,6,6,0,1,2492.62,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,5,4,6,0,1,1557.16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,6,6,0,1,1772.68,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,5,6,0,1,3406.76,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,3,6,0,1,1552.09,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,5,6,0,1,1248.79,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,2,6,0,1,1869.32,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,3,6,0,1,2287.65,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,6,6,0,1,8361.12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,3,6,0,1,2601.92,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,7,6,0,1,2713.18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,6,0,1,7478.94,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,6,0,1,1628.11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,5,3,6,0,1,1318.42,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,6,0,1,6969.3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5,5,6,0,1,4246.04,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,4,6,0,1,3562.55,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,6,0,1,2226.23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,7,6,0,1,3002.34,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,7,6,0,1,5745.44,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
